family,n_iso,n_genes,median_idr,mean_idr,tf_frac
WD repeat neurobeachin family,6,2,14.379,14.733,0.0
Thymidylate kinase family,4,1,14.374,14.952,0.0
Musashi family,3,1,14.343,22.057,0.0
Type-1 OGG1 family,8,1,14.281,19.651,0.0
MoaC family; Radical SAM superfamily,9,1,14.259,13.467,0.0
MCU (TC 1.A.77) family,3,1,14.245,9.799,0.0
Type IA topoisomerase family,6,2,14.202,12.525,0.0
CASP family,4,1,14.202,14.321,0.0
WD repeat EMAP family,10,3,14.198,22.646,0.0
CRISP family,14,3,14.186,14.211,0.0
Chloride channel (TC 2.A.49) family,18,4,14.122,14.704,0.0
RRN7/TAF1B family,3,1,14.116,10.005,0.0
ESRP family,5,1,14.097,13.774,0.0
G-protein coupled receptor 2 family,109,24,14.093,20.583,0.0
Adaptor complexes large subunit family,19,5,14.09,18.127,0.0
IL-1 family,13,3,14.062,13.291,0.0
ODF2 family,16,2,14.034,13.184,0.0
TRAFAC class dynamin-like GTPase superfamily,48,10,13.947,13.251,0.0
Kindlin family,7,2,13.902,13.333,0.0
Chondromodulin-1 family,3,1,13.88,10.795,0.0
Nucleoporin Nup84/Nup107 family,3,1,13.839,9.982,0.0
PHYHIP family,3,1,13.83,40.419,0.0
RNase Z family,4,1,13.828,14.07,0.0
Eukaryotic initiation factor 4E family,3,1,13.825,15.807,0.0
Histidine acid phosphatase family,17,4,13.782,22.934,0.0
CNOT1 family,4,1,13.773,15.292,0.0
Cytochrome b560 family,5,1,13.609,16.894,0.0
Nephrocystin-1 family,4,1,13.585,15.373,0.0
Fanconi anemia protein FANCD2 family,4,1,13.567,14.138,0.0
Pyrroline-5-carboxylate reductase family,3,1,13.48,11.141,0.0
PIGQ family,3,1,13.378,19.372,0.0
Amino acid-polyamine-organocation (APC) superfamily,7,2,13.374,16.081,0.0
ADAD family,3,1,13.368,12.405,0.0
Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family,19,6,13.333,15.064,0.0
Derlin family,5,1,13.305,28.298,0.0
JMJD6 family,6,2,13.299,12.792,0.0
Iron/manganese superoxide dismutase family,4,1,13.281,10.653,0.0
DEF8 family,6,1,13.26,15.11,0.0
Mesothelin family,4,1,13.179,17.813,0.0
EYS family,4,1,13.173,13.679,0.0
APC8/CDC23 family,3,1,13.152,10.921,0.0
SDS22 family,5,1,13.08,14.413,0.0
Integrin beta chain family,13,3,13.065,15.689,0.0
SRP68 family,4,1,13.06,10.054,0.0
BBIP10 family,4,1,13.043,31.522,0.0
Class V-like SAM-binding methyltransferase superfamily; Mariner transposase family,3,1,13.028,13.958,0.0
MOB1/phocein family,6,2,12.987,13.21,0.0
Integrator subunit 14 family,4,1,12.965,11.743,0.0
IPP transferase family,6,1,12.923,16.87,0.0
Peroxidase family,14,3,12.887,11.323,0.0
Guanylate kinase family,3,1,12.863,8.875,0.0
GH3 family,3,1,12.83,10.615,0.0
Sirtuin family,12,3,12.812,11.874,0.0
TMEM39 family,4,1,12.782,25.798,0.0
Metaxin family,7,2,12.749,20.093,0.0
SLC41A transporter family,9,1,12.716,12.372,0.0
Small GTPase superfamily,78,23,12.605,15.652,0.0
Ferlin family,31,4,12.537,13.019,0.0
WD repeat POC1 family,3,1,12.531,8.603,0.0
ClpA/ClpB family,11,3,12.5,19.504,0.0
Peptidase A1 family,14,3,12.438,12.851,0.0
API5 family,6,1,12.412,10.94,0.0
Two pore domain potassium channel (TC 1.A.1.8) family,14,4,12.339,17.632,0.0
CENP-L/IML3 family,3,1,12.308,16.085,0.0
Sestrin family,6,2,12.297,13.302,0.0
FAM184 family,4,1,12.279,12.54,0.0
Amino acid/polyamine transporter 2 family,16,5,12.271,19.595,0.0
Tectonic family,11,2,12.216,15.989,0.0
Ryanodine receptor (TC 1.A.3.1) family,6,2,12.211,11.926,0.0
ELAPOR family,7,2,12.151,11.849,0.0
Prokaryotic/mitochondrial release factor family,4,1,12.143,10.114,0.0
Class-II pyridoxal-phosphate-dependent aminotransferase family,4,1,12.056,9.776,0.0
Palmitoyl-protein thioesterase family,3,1,12.013,13.295,0.0
Nucleotide-sugar transporter family,22,6,11.96,13.429,0.0
Class-V pyridoxal-phosphate-dependent aminotransferase family,3,1,11.816,8.29,0.0
TSR4 family,5,1,11.795,14.415,0.0
Cullin family,9,3,11.789,15.945,0.0
VPS13 family,14,3,11.784,13.818,0.0
AIDA family,3,1,11.765,8.535,0.0
SH3YL1 family,5,1,11.696,10.992,0.0
Isocitrate and isopropylmalate dehydrogenases family,3,1,11.688,7.813,0.0
Acid sphingomyelinase family,4,1,11.683,11.741,0.0
Choline/ethanolamine kinase family,3,1,11.675,12.222,0.0
ZFTRAF1 family,4,1,11.671,11.962,0.0
JAKMIP family,11,2,11.568,14.179,0.0
TFIIIC subunit 5 family,3,1,11.561,11.585,0.0
SAMHD1 family,3,1,11.337,11.417,0.0
Unc-13 family,9,2,11.299,11.795,0.0
ORC3 family,3,1,11.252,11.487,0.0
Radical SAM superfamily,3,1,11.246,10.805,0.0
Calmodulin family,6,1,11.224,26.337,0.0
Anoctamin family,26,7,11.199,12.536,0.0
SIKE family,3,1,11.163,10.953,0.0
CCNDBP1 family,4,1,11.158,11.339,0.0
Flavin monoamine oxidase family,17,4,11.053,13.53,0.0
Phosphatase 2A regulatory subunit B56 family,11,3,11.039,11.357,0.0
MOG1 family,4,1,11.022,11.231,0.0
Class I-like SAM-binding methyltransferase superfamily,83,21,10.963,17.716,0.036
D-glutamate cyclase family,6,1,10.921,25.987,0.0
'GDSL' lipolytic enzyme family,9,2,10.891,15.35,0.0
ATP11 family,3,1,10.833,16.314,0.0
Proteasome subunit p27 family,3,1,10.762,18.101,0.0
Somatotropin/prolactin family,16,4,10.728,11.382,0.0
Glycosyltransferase 2 family,18,5,10.669,10.494,0.0
Sodium:solute symporter (SSF) (TC 2.A.21) family,14,3,10.669,8.91,0.0
EXO70 family,6,1,10.621,11.137,0.0
Peptidase S8 family,11,2,10.594,10.269,0.0
PP2C family,26,7,10.553,14.645,0.0
PIGG/PIGN/PIGO family,6,1,10.521,8.857,0.0
Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family,19,4,10.466,25.081,0.0
TRAFAC class translation factor GTPase superfamily,18,5,10.451,17.807,0.0
SLC13A/DASS transporter (TC 2.A.47) family,13,3,10.45,8.642,0.0
5'-AMP-activated protein kinase gamma subunit family,6,2,10.434,17.768,0.0
Fibulin family,13,3,10.424,11.837,0.0
Maf family,3,1,10.413,10.411,0.0
Transglutaminase-like superfamily,11,2,10.394,16.018,0.0
MELT/VEPH family,4,1,10.384,10.617,0.0
NnrD/CARKD family,4,1,10.374,12.238,0.0
Phospholipase D family,11,3,10.366,11.656,0.0
Actin-binding proteins ADF family,3,1,10.364,11.513,0.0
TMEM54 family,3,1,10.36,7.249,0.0
ADP-dependent glucokinase family,6,1,10.272,22.876,0.0
PA28 family,6,2,10.241,18.976,0.0
BRAT1 family,3,1,10.231,19.103,0.0
EIF-3 subunit D family,3,1,10.22,9.18,0.0
HAUS2 family,3,1,10.213,6.999,0.0
Tenascin family,10,2,10.209,14.42,0.0
Integrin alpha chain family,26,6,10.197,9.967,0.0
V-ATPase G subunit family,6,2,10.169,16.319,0.0
Serpin family,25,7,10.165,16.194,0.0
CDC50/LEM3 family,3,1,10.154,12.4,0.0
SIMIBI class G3E GTPase family,7,2,10.127,10.913,0.0
Su(H) family,7,1,10.108,12.393,1.0
Clusterin family,6,1,10.107,12.728,0.0
SERAC1 family,3,1,10.092,11.811,0.0
Peptidase S16 family,3,1,10.056,12.233,0.0
Thymidylate synthase family,3,1,10.036,10.385,0.0
PPR family,4,1,10.034,10.176,0.0
G-protein coupled receptor 3 family,34,9,9.962,12.459,0.0
Glycerophosphoryl diester phosphodiesterase family,11,3,9.917,8.047,0.0
Carbon-nitrogen hydrolase superfamily,15,3,9.908,11.443,0.0
Nudix hydrolase family,21,6,9.886,15.224,0.0
Shaker potassium channel beta subunit family,8,2,9.884,10.755,0.0
SLC26A/SulP transporter (TC 2.A.53) family,17,3,9.871,15.364,0.0
UBE3C family,3,1,9.861,9.856,0.0
DNAI7 family,4,1,9.839,11.801,0.0
Nucleotide pyrophosphatase/phosphodiesterase family,3,1,9.797,9.091,0.0
SABRE family,4,1,9.797,11.068,0.0
Vinculin/alpha-catenin family,15,4,9.788,9.685,0.0
GPAT/DAPAT family,4,1,9.775,9.489,0.0
Class VI-like SAM-binding methyltransferase superfamily,3,1,9.746,12.444,0.0
DNAJC25 family,3,1,9.722,14.165,0.0
FAM107 family,4,1,9.714,29.857,0.0
FPP/GGPP synthase family,3,1,9.639,7.461,0.0
Argonaute family,6,2,9.628,7.665,0.0
DDOST 48 kDa subunit family,3,1,9.589,9.681,0.0
Peptidase S1 family,84,21,9.555,13.59,0.0
Glycosyl hydrolase 31 family,3,1,9.524,6.529,0.0
APC5 family,3,1,9.487,17.866,0.0
NRAMP family,5,1,9.447,10.941,0.0
Fuzzy family,3,1,9.424,9.199,0.0
PGAP3 family,3,1,9.365,9.508,0.0
Peptidase C54 family,9,2,9.358,13.067,0.0
Myo-inositol 1-phosphate synthase family,3,1,9.325,9.834,0.0
Methyltransferase superfamily,29,8,9.281,18.845,0.0
Peptidase M2 family,4,1,9.251,9.015,0.0
P2X receptor family,25,4,9.176,10.833,0.0
MTERF family,3,1,9.174,13.05,1.0
Peptidase C14A family,66,10,9.15,11.705,0.0
Mitochondrion-specific ribosomal protein mL43 family,6,1,9.119,16.447,0.0
Fatty acid desaturase type 1 family,4,1,9.08,9.694,0.0
ATPase alpha/beta chains family,3,1,9.042,6.215,0.0
Wntless family,3,1,9.024,9.25,0.0
ST7 family,15,2,9.023,8.119,0.0
Inositol 3,4,1,9.022,8.358,0.0
Glutamate-gated ion channel (TC 1.A.10.1) family,24,4,8.877,9.954,0.0
PI3/PI4-kinase family,10,3,8.843,14.697,0.0
PIH1 family,6,2,8.793,27.561,0.0
Cation transport ATPase (P-type) (TC 3.A.3) family,106,22,8.771,9.951,0.0
Glycosyl hydrolase 35 family,6,2,8.765,10.46,0.0
5'(3')-deoxyribonucleotidase family,4,1,8.764,7.155,0.0
Tubulin polyglutamylase family,3,1,8.747,6.469,0.0
Glycosyl hydrolase 79 family,8,2,8.734,8.408,0.0
Mediator complex subunit 27 family,3,1,8.727,10.626,0.0
Type II pantothenate kinase family,8,2,8.725,13.996,0.0
ROX family,4,1,8.611,7.788,0.0
Multicopper oxidase family,4,1,8.596,8.611,0.0
WD repeat WDR33 family,3,1,8.56,29.317,0.0
PTPA-type PPIase family,4,1,8.447,8.352,0.0
Lipase maturation factor family,3,1,8.418,9.12,0.0
Mitochondrion-specific ribosomal protein mS29 family,3,1,8.403,8.664,0.0
Cytidylyltransferase family,8,2,8.333,12.357,0.0
Leprecan family,4,1,8.299,7.467,0.0
APC6/CDC16 family,4,1,8.271,8.393,0.0
GST superfamily,19,6,8.23,6.111,0.0
PPP phosphatase family,23,6,8.211,11.321,0.0
P4HA family,6,2,8.193,9.09,0.0
DRC6 family,4,1,8.162,9.11,0.0
LZTFL1 family,3,1,8.156,8.519,0.0
ABC transporter superfamily,103,23,8.142,12.543,0.0
SLMAP family,8,1,8.121,10.829,0.0
Glycerate kinase type-2 family,7,1,8.096,8.647,0.0
CFAP43 family,5,1,8.094,9.868,0.0
Ferredoxin--NADP reductase type 1 family,7,1,8.075,8.669,0.0
Cyclophilin-type PPIase family,6,2,8.069,9.824,0.0
CoA-transferase III family,8,2,7.989,6.59,0.0
Syntaxin family,19,5,7.986,13.345,0.0
Potassium channel KCNN family,3,1,7.981,19.154,0.0
NARF family,7,2,7.968,7.366,0.0
GcvT family,4,1,7.862,7.824,0.0
PI3K p85 subunit family,8,2,7.846,6.767,0.0
NELF-D family,3,1,7.797,12.516,0.0
Acid ceramidase family,6,2,7.777,9.064,0.0
SLC43A transporter (TC 2.A.1.44) family,4,1,7.707,10.809,0.0
Peptidase M1 family,22,6,7.704,8.977,0.0
Metallo-beta-lactamase superfamily,19,5,7.692,16.692,0.0
TRIM/RBCC family,56,15,7.68,15.317,0.0
MCM family,11,3,7.619,13.722,0.0
Glycosyl hydrolase 18 family,13,4,7.609,6.813,0.0
Actin family,6,2,7.602,9.578,0.0
LTN1 family,3,1,7.551,7.892,0.0
WD repeat TRM82 family,3,1,7.543,8.782,0.0
HAUS7 family,3,1,7.542,10.77,0.0
KDELC family,3,1,7.539,6.26,0.0
AB hydrolase superfamily,57,14,7.5,11.761,0.0
TRNA nucleotidyltransferase/poly(A) polymerase family,3,1,7.488,38.21,0.0
NADPH-dependent diflavin oxidoreductase NDOR1 family; Flavodoxin family; Flavoprotein pyridine nucleotide cytochrome reductase family,4,1,7.482,7.375,0.0
Peptidase C56 family,4,1,7.4,9.7,0.0
SepSecS family,3,1,7.385,7.528,0.0
ARPC4 family,4,1,7.36,13.038,0.0
3-hydroxyacyl-CoA dehydrogenase family,3,1,7.325,11.766,0.0
CDC45 family,3,1,7.308,9.802,0.0
Major facilitator (TC 2.A.1) superfamily,40,11,7.273,13.466,0.0
Sarcoglycan beta/delta/gamma/zeta family,3,1,7.241,15.919,0.0
DNA/RNA non-specific endonuclease family,4,1,7.201,8.318,0.0
E3 ubiquitin-protein ligase UBR1-like family,8,2,7.179,7.608,0.0
APC4 family,3,1,7.169,6.355,0.0
Crumbs protein family,8,2,7.099,7.565,0.0
MHC class I family,38,7,7.069,10.188,0.0
UbiH/COQ6 family,3,1,7.051,7.536,0.0
Stereocilin family,5,1,7.025,8.554,0.0
VPS53 family,4,1,7.004,7.888,0.0
NIBP family,3,1,6.969,7.849,0.0
Peptidase M13 family,10,3,6.919,7.103,0.0
MnmA/TRMU family,5,1,6.888,6.574,0.0
Acyl-CoA dehydrogenase family,14,4,6.873,7.072,0.0
DNA2/NAM7 helicase family,15,4,6.805,15.701,0.0
CAND family,3,1,6.78,7.05,0.0
Glycosyltransferase 61 family,3,1,6.772,9.06,0.0
Peptidase M16 family,3,1,6.744,5.773,0.0
OLFML3 family,3,1,6.736,12.414,0.0
Non-lysosomal glucosylceramidase family,3,1,6.727,7.253,0.0
FRAS1 family,9,2,6.713,5.709,0.0
COG5 family,4,1,6.711,5.901,0.0
Copper/topaquinone oxidase family,3,1,6.684,4.962,0.0
WD repeat ELP2 family,7,1,6.625,6.599,0.0
FAD-dependent oxidoreductase 2 family,3,1,6.551,6.897,0.0
Glycosyltransferase 68 family,3,1,6.527,6.754,0.0
DNAAF5 family,3,1,6.524,6.412,0.0
Class-IV pyridoxal-phosphate-dependent aminotransferase family,5,1,6.494,6.001,0.0
BZW family,4,1,6.449,7.761,0.0
Glycosyltransferase 10 family,7,1,6.43,5.865,0.0
Glycosyltransferase 54 family,3,1,6.387,6.038,0.0
Interleukin-1 receptor family,12,3,6.294,8.025,0.0
Type-B carboxylesterase/lipase family,29,7,6.262,11.705,0.0
Sulfatase family,6,2,6.261,7.844,0.0
Phosphoenolpyruvate carboxykinase [GTP] family,3,1,6.25,5.182,0.0
HEATR5 family,6,2,6.219,6.011,0.0
Class-I aminoacyl-tRNA synthetase family,10,3,6.192,7.176,0.0
Succinate/malate CoA ligase beta subunit family; Succinate/malate CoA ligase alpha subunit family,3,1,6.176,6.059,0.0
Aromatic-ring hydroxylase family,3,1,6.173,6.391,0.0
FKBP6 family,3,1,6.116,4.283,0.0
Ankyrin SOCS box (ASB) family,15,5,6.115,6.315,0.0
Sulfotransferase 1 family,9,3,6.071,5.313,0.0
Class-I pyridine nucleotide-disulfide oxidoreductase family,19,4,6.02,5.648,0.0
Wnt family,3,1,5.983,8.664,0.0
Peptidase C2 family,13,2,5.898,13.065,0.0
UNR family,5,1,5.89,7.345,0.0
Peptidase C13 family,3,1,5.851,5.538,0.0
EIF-2B gamma/epsilon subunits family,3,1,5.825,6.68,0.0
Mitochondrial carrier (TC 2.A.29) family,49,14,5.757,11.986,0.0
Lysyl oxidase family,3,1,5.71,4.206,0.0
Carotenoid oxygenase family,5,1,5.699,5.848,0.0
CD36 family,9,2,5.697,4.81,0.0
BABAM2 family,4,1,5.697,4.761,0.0
DNA mismatch repair MutS family,8,2,5.654,11.259,0.0
GSAP family,4,1,5.635,4.517,0.0
Phosphorylase b kinase regulatory chain family,7,2,5.581,9.953,0.0
COG6 family,3,1,5.528,19.123,0.0
BRINP family,3,1,5.519,5.902,0.0
G-alpha family,19,5,5.512,15.086,0.0
EMP24/GP25L family,6,2,5.507,6.061,0.0
V-ATPase 116 kDa subunit family,3,1,5.496,6.062,0.0
Proline oxidase family,3,1,5.426,8.157,0.0
Glycosyltransferase 117 (GT117) family,3,1,5.379,5.394,0.0
PIGT family,6,1,5.373,5.59,0.0
Prominin family,10,2,5.292,6.866,0.0
RIB43A family,3,1,5.277,5.752,0.0
Spectrin family,14,4,5.23,7.699,0.0
ALB/AFP/VDB family,6,2,5.225,4.784,0.0
Biopterin-dependent aromatic amino acid hydroxylase family,6,1,5.198,9.252,0.0
Glycosyl hydrolase 2 family,3,1,5.167,5.356,0.0
IFT56 family,3,1,5.163,5.254,0.0
MnmG family,6,1,5.158,6.04,0.0
NRAP family,4,1,5.137,5.7,0.0
Glycosyl hydrolase 56 family,11,2,5.057,11.658,0.0
MIP/aquaporin (TC 1.A.8) family,4,1,5.046,13.007,0.0
Alpha-ketoglutarate dehydrogenase family,6,2,5.011,7.081,0.0
Peptidase M28 family,19,3,5.0,4.694,0.0
EMC1 family,4,1,4.836,4.838,0.0
Gamma-glutamyltransferase family,13,4,4.778,9.529,0.0
EFR3 family,6,2,4.724,5.778,0.0
LIMR family,12,3,4.71,4.342,0.0
Integrator subunit 7 family,4,1,4.656,4.649,0.0
Phosphatase 2A regulatory subunit A family,5,1,4.641,7.733,0.0
Dynein heavy chain family,35,10,4.618,8.85,0.0
Mediator complex subunit 16 family,5,1,4.525,4.933,0.0
Patched family,15,4,4.505,10.539,0.0
Adenylyl cyclase class-4/guanylyl cyclase family,10,3,4.48,6.396,0.0
Class-III pyridoxal-phosphate-dependent aminotransferase family,6,2,4.462,4.767,0.0
Glycosyltransferase 22 family,4,1,4.45,4.475,0.0
STEAP family,7,2,4.405,6.39,0.0
Alkaline phosphatase family,3,1,4.389,9.741,0.0
Group II decarboxylase family,15,4,4.377,5.951,0.0
STXBP/unc-18/SEC1 family,6,2,4.347,4.636,0.0
Peptidase S9B family,13,3,4.271,4.031,0.0
NLRP family,42,9,4.261,7.809,0.0
WD repeat WDR48 family,5,1,4.202,15.637,0.0
TTC39 family,16,3,4.123,12.871,0.0
CSC1 (TC 1.A.17) family,3,1,4.073,6.967,0.0
TCP-1 chaperonin family,10,3,4.011,3.2,0.0
Acyl coenzyme A hydrolase family,4,1,3.986,4.225,0.0
Prostaglandin G/H synthase family,6,1,3.922,4.086,0.0
Proteasome subunit S2 family,3,1,3.872,5.586,0.0
Glycosyl hydrolase 59 family,4,1,3.852,4.043,0.0
Glycosyl hydrolase 38 family,7,2,3.826,4.474,0.0
MON2 family,5,1,3.741,3.016,0.0
VPS41 family,3,1,3.739,3.745,0.0
CSMD family,13,3,3.732,3.039,0.0
Complex I 75 kDa subunit family,5,1,3.714,2.631,0.0
CTL (choline transporter-like) family,19,5,3.566,4.981,0.0
Calcium channel subunit alpha-2/delta family,19,4,3.41,4.555,0.0
Toll-like receptor family,8,2,3.387,3.782,0.0
Ubiquitin-activating E1 family,11,3,3.327,3.942,0.0
MROH1 family,7,1,3.279,5.601,0.0
Selenium-binding protein family,4,1,3.186,4.22,0.0
COG4 family,3,1,3.185,3.435,0.0
Enolase family,6,2,3.168,6.321,0.0
Fanconi anemia group I protein family,4,1,3.16,2.389,0.0
Iron-containing alcohol dehydrogenase family,4,1,3.105,3.863,0.0
OGFOD2 family,4,1,3.0,19.136,0.0
Flavoprotein pyridine nucleotide cytochrome reductase family,6,2,2.994,5.505,0.0
ARTD/PARP family,23,6,2.958,11.443,0.0
NOTCH family,6,2,2.918,15.802,0.0
Importin beta family,6,2,2.84,2.904,0.0
RSE1 family,3,1,2.794,3.521,0.0
MET18/MMS19 family,6,1,2.729,18.059,0.0
CYFIP family,3,1,2.676,3.18,0.0
Golgi pH regulator (TC 1.A.38) family,4,1,2.442,2.485,0.0
CATSPERD family,3,1,2.404,2.308,0.0
Peptidase C1 family,6,2,2.376,4.08,0.0
GPI inositol-deacylase family,4,1,2.223,2.415,0.0
SMC family,6,2,2.151,1.856,0.0
THADA family,6,1,1.997,2.532,0.0
Carnitine/choline acetyltransferase family,16,5,1.984,3.886,0.0
CEP63 family,4,1,1.848,6.721,0.0
TBCD family,5,1,1.843,1.336,0.0
Protease inhibitor I39 (alpha-2-macroglobulin) family,4,1,1.683,2.104,0.0
Mediator complex subunit 23 family,6,1,1.615,1.246,0.0
Reelin family,3,1,1.561,1.313,0.0
ATP-dependent AMP-binding enzyme family,40,10,1.385,4.758,0.0
ACBP family,6,1,0.0,9.844,0.0
FBXL17 family,3,1,0.0,15.264,0.0
Filamin family,12,2,0.0,0.497,0.0
Ro 60 kDa family,5,1,0.0,0.0,0.0
HOP2 family,3,1,0.0,0.0,0.0
AAMDC family,3,1,0.0,0.0,0.0
Misato family,7,1,0.0,9.184,0.0
Aldehyde dehydrogenase family,20,6,0.0,2.578,0.0
ATP synthase subunit s family,9,2,0.0,5.236,0.0
ATG7 family,3,1,0.0,0.0,0.0
ARMH3 family,3,1,0.0,2.612,0.0
ARL6ip family,3,1,0.0,0.0,0.0
XPO2/CSE1 family,4,1,0.0,0.0,0.0
YdjC deacetylase family,3,1,0.0,21.569,0.0
WD repeat THOC6 family,3,1,0.0,0.0,0.0
WD repeat SEC13 family,4,1,0.0,1.427,0.0
WD repeat RBAP46/RBAP48/MSI1 family,4,1,0.0,0.0,0.0
WD repeat PAAF1/RPN14 family,3,1,0.0,0.0,0.0
WD repeat LST8 family,4,1,0.0,3.111,0.0
Nucleoporin Nup85 family,3,1,0.0,3.463,0.0
HMG-CoA lyase family,7,2,0.0,5.474,0.0
HMBS family,4,1,0.0,0.0,0.0
HDDC2 family,3,1,0.0,9.02,0.0
HAUS4 family,4,1,0.0,0.0,0.0
HAM1 NTPase family,3,1,0.0,0.0,0.0
Phytoene/squalene synthase family,5,1,0.0,0.0,0.0
PhyH family,3,1,0.0,18.519,0.0
Phosphohexose mutase family,6,2,0.0,0.677,0.0
Class-II aminoacyl-tRNA synthetase family,7,2,0.0,0.878,0.0
Class-I pyridoxal-phosphate-dependent aminotransferase family,6,2,0.0,4.914,0.0
Sulfotransferase 3 family,3,1,0.0,10.341,0.0
Queuine tRNA-ribosyltransferase family,4,1,0.0,0.0,0.0
Pyruvate kinase family,3,1,0.0,4.393,0.0
Pyrimidine 5'-nucleotidase family,4,1,0.0,0.0,0.0
Pyridoxine kinase family,3,1,0.0,0.0,0.0
Purine/pyrimidine phosphoribosyltransferase family; OMP decarboxylase family,4,1,0.0,0.0,0.0
Purine/pyrimidine phosphoribosyltransferase family,3,1,0.0,0.0,0.0
Protein lines family,3,1,0.0,5.724,0.0
Granulin family,3,1,0.0,5.085,0.0
DNAJC11 family,3,1,0.0,0.0,0.0
DAMOX/DASOX family,4,1,0.0,0.0,0.0
Cytochrome P450 family,24,7,0.0,1.706,0.0
Short-chain dehydrogenases/reductases (SDR) family,57,13,0.0,10.062,0.0
Selenophosphate synthase 1 family,4,1,0.0,0.0,0.0
Glyoxalase I family,3,1,0.0,2.236,0.0
Stathmin family,4,1,0.0,0.0,0.0
Peptidase M49 family,3,1,0.0,0.0,0.0
Phosphofructokinase type A (PFKA) family,3,1,0.0,2.037,0.0
Phosphatase 2A regulatory subunit B family,11,2,0.0,3.271,0.0
Peroxiredoxin-like PRXL2 family,6,1,0.0,4.35,0.0
Peptidase T1B family,3,1,0.0,7.718,0.0
Peptidase T1A family,9,3,0.0,0.0,0.0
Hexokinase family,10,3,0.0,0.0,0.0
Churchill family,4,1,0.0,0.0,0.0
Diacylglycerol acyltransferase family,9,3,0.0,4.77,0.0
Deoxyhypusine synthase family,3,1,0.0,0.0,0.0
DapA family,5,1,0.0,2.259,0.0
DTDP-4-dehydrorhamnose reductase family,5,1,0.0,0.0,0.0
DRC8 family,3,1,0.0,14.002,0.0
SecY/SEC61-alpha family,3,1,0.0,2.593,0.0
DNA polymerase epsilon subunit B family,3,1,0.0,0.0,0.0
SWEET sugar transporter family,3,1,0.0,6.426,0.0
SURF4 family,3,1,0.0,0.0,0.0
Prefoldin subunit alpha family,3,1,0.0,0.0,0.0
Chondroitin N-acetylgalactosaminyltransferase family,6,2,0.0,3.852,0.0
Chloride channel CLIC family,3,1,0.0,13.821,0.0
Synaptogyrin family,3,1,0.0,7.296,0.0
Peptidase C12 family,7,2,0.0,0.0,0.0
IMPDH/GMPR family,10,2,0.0,2.056,0.0
IFT81 family,3,1,0.0,4.099,0.0
IFT172 family,3,1,0.0,0.0,0.0
IAP family,7,1,0.0,6.048,0.0
Hyi family,4,1,0.0,0.0,0.0
Peptidase S26B family,4,1,0.0,2.838,0.0
Peptidase M67A family,8,2,0.0,10.716,0.375
CSN12 family,4,1,0.0,0.0,0.0
Carbohydrate kinase PfkB family,4,1,0.0,0.0,0.0
TCAF family,3,1,0.0,2.209,0.0
TAM41 family,3,1,0.0,2.434,0.0
Clarin family,3,1,0.0,0.0,0.0
COPE family,3,1,0.0,0.0,0.0
COMM domain-containing protein 4 family,3,1,0.0,0.0,0.0
TMEM126 family,5,1,0.0,8.798,0.0
TLCD5 family,4,1,0.0,0.0,0.0
Glycosyl hydrolase 30 family,5,1,0.0,2.9,0.0
Glycogen debranching enzyme family,3,1,0.0,0.0,0.0
Glycosyltransferase 47 family,3,1,0.0,1.198,0.0
Glycosyltransferase 41 family,4,1,0.0,0.0,0.0
Glycosyltransferase 4 family,3,1,0.0,0.0,0.0
Glycosyltransferase 39 family,4,1,0.0,0.0,0.0
Glycosyltransferase 29 family,39,4,0.0,6.272,0.0
Glycosyltransferase 23 family,4,1,0.0,0.0,0.0
SPO22 family,3,1,0.0,1.418,0.0
Calcineurin regulatory subunit family,3,1,0.0,0.0,0.0
CNOT9 family,3,1,0.0,0.0,0.0
CNEP1R1 family,3,1,0.0,0.0,0.0
CINP family,3,1,0.0,0.0,0.0
TMEM234 family,4,1,0.0,0.0,0.0
TMEM231 family,3,1,0.0,8.019,0.0
TMEM182 family,3,1,0.0,0.0,0.0
TMEM163 family,3,1,0.0,9.227,0.0
TMEM161 family,3,1,0.0,0.0,0.0
TMEM138 family,3,1,0.0,0.0,0.0
Iodothyronine deiodinase family,12,2,0.0,23.365,0.0
Peptidase M24B family,12,3,0.0,5.341,0.0
Peptidase M20A family,4,1,0.0,0.0,0.0
Peptidase M17 family,5,1,0.0,3.663,0.0
Peptidase C69 family,3,1,0.0,1.536,0.0
Inositol monophosphatase superfamily,7,2,0.0,0.0,0.0
Paraoxonase family,3,1,0.0,0.0,0.0
CIBAR family,5,1,0.0,7.396,0.0
CGI121/TPRKB family,3,1,0.0,0.0,0.0
CFAP70 family,5,1,0.0,6.113,0.0
CFAP52 family,3,1,0.0,0.0,0.0
CFAP46 family,3,1,0.0,6.544,0.0
CFAP300 family,3,1,0.0,0.0,0.0
TPP enzyme family,4,1,0.0,0.0,0.0
TNFAIP8 family,4,1,0.0,0.0,0.0
TNF receptor-associated factor family,7,2,0.0,0.0,0.0
TMTC family,9,2,0.0,3.827,0.0
CEP76 family,3,1,0.0,1.884,0.0
CENP-X/MHF2 family,3,1,0.0,0.0,1.0
CENP-N/CHL4 family,5,1,0.0,2.033,0.0
TTC21 family,5,1,0.0,0.0,0.0
TRAPPC13 family,5,1,0.0,0.0,0.0
TRAPPC11 family,4,1,0.0,0.0,0.0
