family,n_iso,n_genes,median_idr,mean_idr,tf_frac
SNF2/RAD54 helicase family,64,15,46.855,45.58,0.047
Anamorsin family,3,1,46.823,63.898,0.0
GARIN family,3,1,46.802,56.749,0.0
PRRC1 family,5,1,46.742,51.138,0.0
Calcium channel beta subunit family,22,4,46.736,47.182,0.0
CYYR1 family,6,1,46.672,41.579,0.0
CDIP1/LITAF family,6,2,46.629,46.598,0.0
Sesquipedalian family,4,1,46.606,48.303,0.0
Nucleoplasmin family,3,1,46.599,47.525,0.0
WD repeat striatin family,3,1,46.447,63.247,0.0
DZIP C2H2-type zinc-finger protein family,3,1,46.344,43.726,1.0
MZB1 family,5,1,46.341,42.36,0.0
GAREM family,6,2,46.323,48.685,0.0
Bridge-like lipid transfer protein family member 1 family,6,1,46.281,41.089,0.0
CybS family,4,1,46.279,56.681,0.0
H-rev107 family,3,1,46.237,47.154,0.0
Crescerin family,6,2,46.199,32.861,0.0
ATG13 family,5,1,46.173,46.487,0.0
NSFL1C family,4,1,46.129,45.246,0.0
NudE family,3,1,46.087,46.233,0.0
Tumor necrosis factor family,22,5,46.077,48.271,0.0
SCM family,12,3,45.964,46.068,0.75
NK-3 homeobox family,5,1,45.946,45.396,1.0
APP family,17,2,45.902,45.688,0.0
DIXDC1 family,4,1,45.895,39.162,0.0
Beta/gamma-crystallin family,6,2,45.812,39.215,0.0
SDE2 family,3,1,45.786,48.844,0.0
BCAS3 family,6,1,45.785,47.025,0.0
PWWP3A family,3,1,45.775,48.537,0.0
Small heat shock protein (HSP20) family,3,1,45.714,62.689,0.0
Unc-80 family,7,1,45.455,43.955,0.0
GAPVD1 family,6,1,45.192,45.264,0.0
SPT6 family,3,1,45.138,45.198,0.0
CELF/BRUNOL family,24,5,45.08,45.762,0.0
MIA/OTOR family,16,2,45.072,51.4,0.0
TBRG1 family,3,1,45.0,43.551,0.0
CHFR family,5,1,44.939,43.06,0.0
Hyccin family,3,1,44.914,58.726,0.0
Anion channel-forming bestrophin (TC 1.A.46) family,8,2,44.873,48.292,0.0
CCM2 family,7,2,44.731,43.303,0.0
YIP1 family,8,2,44.693,59.087,0.0
SOSS-B family,3,1,44.608,48.203,0.0
UFD1 family,3,1,44.606,45.533,0.0
Pecanex family,12,3,44.425,44.656,0.0
Gemin-2 family,5,1,44.4,49.675,0.0
Eukaryotic ribosomal protein eL28 family,5,1,44.172,63.737,0.0
WD repeat Groucho/TLE family,14,3,44.091,43.646,0.0
SCOC family,4,1,44.067,55.845,0.0
GPSM family,4,1,43.797,50.564,0.0
CEP41 family,4,1,43.719,34.058,0.0
LETM1 family,3,1,43.701,40.48,0.0
Liprin family,19,4,43.685,42.593,0.0
NF-kappa-B inhibitor family,3,1,43.656,32.219,0.0
SAPS family,12,2,43.619,43.605,0.0
FAM221 family,6,2,43.535,42.657,0.0
AlkB family,10,3,43.383,35.25,0.0
Mediator complex subunit 15 family,3,1,43.316,41.548,0.0
Sarcoglycan alpha/epsilon family,3,1,43.249,40.13,0.0
TANC family,4,1,43.242,42.968,0.0
ANKRD36 family,11,3,43.016,39.197,0.0
PPase class C family,12,2,42.979,55.153,0.0
CCDC149 family,6,1,42.911,39.442,0.0
ASCC2 family,3,1,42.668,35.411,0.0
DNA polymerase type-B-like family,11,2,42.657,40.494,0.0
FHIP family,3,1,42.596,43.265,0.0
FAM83 family,3,1,42.507,42.261,0.0
SEC23/SEC24 family,3,1,42.35,42.274,0.0
NEMF family,5,1,42.275,46.418,0.0
LRRFIP family,9,2,42.164,49.187,0.0
CEP78 family,4,1,42.098,42.084,0.0
TUB family,3,1,42.081,59.869,0.0
Acetyltransferase ATAT1 family,7,1,42.042,44.77,0.0
JHDM1 histone demethylase family,15,3,41.96,45.07,0.667
NFX1 family,3,1,41.897,40.416,1.0
EPS8 family,10,3,41.826,42.232,0.0
Clathrin light chain family,5,1,41.739,42.144,0.0
RCAN family,10,2,41.739,56.661,0.0
Cytochrome c oxidase subunit 6B family,3,1,41.6,30.641,0.0
MAPRE family,5,1,41.587,41.318,0.0
UTX family,5,1,41.371,41.27,0.0
MADD family,8,1,41.099,41.041,0.0
Gfa family,3,1,41.091,60.511,0.0
ARGLU1 family,3,1,41.026,36.556,0.0
SCF family,3,1,41.026,40.79,0.0
RFX family,13,4,40.816,44.738,1.0
TTC14 family,3,1,40.735,34.476,0.0
PIAS family,6,2,40.721,37.608,0.0
WD repeat SCAP family,4,1,40.647,34.229,0.0
NGF-beta family,5,1,40.458,42.619,0.0
Translokin family,5,1,40.326,40.535,0.0
Type-III (or lambda) interferon family,4,1,40.226,35.38,0.0
EURL family,3,1,40.203,44.442,0.0
Calreticulin family,3,1,40.203,40.449,0.0
FILIP1 family,10,2,40.046,40.846,0.0
Rad9 family,5,1,40.0,43.229,0.0
ERI2 family,4,1,39.917,37.617,0.0
NECAP family,4,1,39.897,30.497,0.0
DP1 family,4,1,39.816,51.376,0.0
TAF6 family,4,1,39.809,40.819,0.0
Mask family,6,1,39.797,38.378,0.0
Krueppel C2H2-type zinc-finger protein family,369,101,39.769,42.778,0.992
NAC-beta family,3,1,39.744,53.543,0.0
DNA polymerase type-Y family,11,2,39.655,30.322,0.0
XPG/RAD2 endonuclease family,3,1,39.655,43.093,0.0
ECSIT family,4,1,39.625,36.154,0.0
SCARA5 family,4,1,39.543,42.566,0.0
Pannexin family,3,1,39.502,48.035,0.0
GASK family,3,1,39.499,59.593,0.0
CCDC144 family,3,1,39.428,34.185,0.0
HRD1 family,3,1,39.384,40.324,0.0
V-ATPase e1/e2 subunit family,4,1,39.317,35.817,0.0
Tomoregulin family,3,1,39.305,41.709,0.0
TAFA family,3,1,39.2,46.4,0.0
P23/wos2 family,7,2,39.157,58.635,0.0
R-spondin family,6,2,39.134,38.313,0.0
PpiC/parvulin rotamase family,3,1,39.103,37.733,0.0
Poly(ADP-ribose) glycohydrolase family,5,1,39.055,26.346,0.0
Luc7 family,6,2,38.979,37.904,0.0
5'-nucleotidase type 3 family,4,1,38.948,34.614,0.0
RADIL family,4,1,38.905,45.74,0.0
OXA1/ALB3/YidC family,7,2,38.783,38.21,0.0
Uroplakin-3 family,3,1,38.75,36.909,0.0
UPL family,8,2,38.729,40.9,0.0
CEP152 family,4,1,38.648,38.024,0.0
HIN-200 family,11,2,38.612,40.885,0.0
KIAA1841 family,4,1,38.529,35.469,0.0
CCDC88 family,14,3,38.432,53.247,0.0
